send_date,campaign_id,campaign_name,email_type,subject_line,total_sent,delivered,bounced,opened,clicked,unsubscribed,open_rate_pct,click_to_open_rate,conversions,revenue_gbp,esp_platform,list_segment
2024/08/12,EM4715,Monthly_Newsletter_Mar,promotional,Glow up this summer,13921,12381,1540,608,130,197,,21.38,26,608.82,,Cart Abandoners
11-01-2024,EM6729,Flash_Sale_48hr,Promotional,Glow up this summer,19449,19368,81,3068,349,363,15.84,11.38,36,2639.69,mailchimp,Lapsed_90d
2024-05-06,EM8570,Flash_Sale_48hr,newsletter,Glow up this summer,20172,18281,1891,,672,148,20.28,18.12,,407.48,Dotdigital,Cart Abandoners
01-30-2024,EM9023,Abandoned_Cart_1 ,win_back,New in: Vitamin C Serum,16330,14696,1634,6133,1343,26,41.73,21.9,209,6880.67,Klaviyo,VIP
2024/11/22,EM3637,,newsletter,New in: Vitamin C Serum,7115,6935,180,847,57,57,12.21,6.73,0,0.0,Dotdigital,Cart Abandoners
2024/03/16,EM6067,Abandoned_Cart_1,Promotional,,9329,9111,218,3716,924,47,40.79,24.87,,602.06,Klaviyo,All Subscribers
29/01/2024,EM5842,,,We miss you - here is 15% off,13597,13279,318,863,124,18,6.5,14.37,,1274.97,Klaviyo,
2024/07/18,EM7087,Monthly_Newsletter_Jan,,Your skin will thank you,18549,17405,1144,7282,742,344,41.84,10.19,64,4686.77,KLAVIYO,Cart Abandoners
04-09-2024,EM7796,Flash_Sale_48hr,promotional,NULL,9350,8305,1045,33,9,65,0.4,27.27,1,55.06,,
2024-12-04,EM6055,,NEWSLETTER,Your skin will thank you,14286,12962,1324,2714,442,146,20.94,16.29,8,666.2,Klaviyo,lapsed_90d
20-Jan-2024,EM8355,Monthly_Newsletter_Jan,newsletter,Glow up this summer,20230,19349,881,6449,1703,1,33.33,26.41,110,4399.03,KLAVIYO,All Subscribers
09-24-2024,EM6753,Welcome_Series_1,,We miss you - here is 15% off,11272,10662,610,3150,345,204,29.54$,10.95,53,3816.22,,Lapsed_90d
2024/08/29,EM9859,,,,12985,12031,954,3357,576,216,27.9,17.16,71,1732.15,Mailchimp,lapsed_90d
07-27-2024,EM5622,Monthly_Newsletter_Jan,promotional,Exclusive access just for you,23088,,1324,7751,,12,35.61,5.48,68,2706.69,Mailchimp,Lapsed_90d
30-Jul-2024,EM3322,Monthly_Newsletter_Feb,NEWSLETTER,We miss you - here is 15% off,1659,1488,171,437,51,8,29.37,11.67,2,98.26,,
2024/05/14,EM2559,Monthly_Newsletter_Mar,transactional,We miss you - here is 15% off,24086,,417,-9237,1191,205,39.03,,16,994.6,Klaviyo,All Subscribers
2024-10-25,EM8352,,promotional,We miss you - here is 15% off,9022,8120,902,419,126,54,,30.07,10,290.8,Mailchimp,lapsed_90d
2024-08-11,EM4884,Monthly_Newsletter_Feb,promotional,New in: Vitamin C Serum,15358,13613,1745,4247,894,52,31.2,21.05,162,6165.69,mailchimp,Lapsed_90d
12-24-2024,EM4559,Abandoned_Cart_1,promotional,Glow up this summer,5657,5604,53,1527,158,9,27.25,10.35,26,1671.18,mailchimp,All Subscribers
2024-07-30,EM3343,Monthly_Newsletter_Mar,promotional,NULL,19634,18772,862,908,146,249,4.84,16.08,10,874.68,Dotdigital,
02-21-2024,EM9309,,Promotional,Your skin will thank you,8369,7367,1002,2008,228,89,27.26,11.35,7,308.11,Klaviyo,VIP
2024/08/07,EM8270,Abandoned_Cart_2,Promotional,NULL,18271,16607,1664,4033,1307,51,24.28,32.41,259,19230.02,KLAVIYO,All Subscribers
25-Feb-2024,EM9313,Abandoned_Cart_2,win_back,Glow up this summer,4444,4429,15,889,216,70,20.07,24.3,43,3314.91,,Lapsed_90d
08-14-2024,EM9984,Monthly_Newsletter_Mar,,New in: Vitamin C Serum,12536,12038,498,3781,839,53,31.41,22.19,10,466.03,,VIP
2024/03/04,EM7001,Abandoned_Cart_1 ,win_back,You left something behind...,23105,22782,323,1875,404,206,8.23,21.55,,2335.65,Dotdigital,VIP
01/01/2024,EM1794,VIP_Early_Access,,Glow up this summer,4199,4064,135,556,27,,13.68,4.86,1,50.68,mailchimp,Cart Abandoners
07-Dec-2024,EM2542,Welcome_Series_1,,Exclusive access just for you,23929,22885,1044,6369,1893,,27.83,,354,24816.45,mailchimp,Cart Abandoners
07-17-2024,EM4586,,NEWSLETTER,You left something behind...,23904,21572,2332,1377,462,322,6.38,33.55,77,3237.2,Dotdigital,Cart Abandoners
24/06/2024,EM6417,Flash_Sale_48hr,newsletter,NULL,17309,15745,1564,6117,170,192,38.85,2.78,16,976.61,KLAVIYO,VIP
2024-08-17,EM9636,Abandoned_Cart_1,transactional,New in: Vitamin C Serum,8139,8032,107,1174,283,12,14.62,24.11,6,183.5,Mailchimp,Lapsed_90d
24-Jun-2024,EM7176,VIP_Early_Access,win_back,Exclusive access just for you,10757,10242,515,3532,386,72,34.49,10.93,49,1145.18,,VIP
21-Jul-2024,EM7928,,,,4255,4058,197,186,64,20,4.58,34.41,6,141.7,klaviyo,lapsed_90d
2024/12/03,EM3756,Monthly_Newsletter_Jan,Promotional,48hrs only: 20% off everything,15313,14376,,1098,71,173,7.64,6.47,2,163.9,Dotdigital,Cart Abandoners
30/11/2024,EM2523,Monthly_Newsletter_Feb,Promotional,NULL,21893,19504,2389,7818,2619,383,40.08,33.5,30,550.26,Klaviyo,All Subscribers
2024-10-20,EM1840,Monthly_Newsletter_Jan,win_back,New in: Vitamin C Serum,24054,21427,2627,3834,1333,223,17.89,34.77,143,3584.51,Mailchimp,Lapsed_90d
2024/01/08,EM5794,Abandoned_Cart_2,win_back,NULL,3618,3249,369,843,-264,55,25.95,31.32,41,2847.95,mailchimp,Lapsed_90d
2024/06/27,EM4874,Welcome_Series_1,,You left something behind...,17729,15804,1925,980,237,11,6.2,24.18,32,1455.72,,Cart Abandoners
,EM6891,Abandoned_Cart_2,promotional,,11465,10617,,129,18,169,1.22,13.95,3,54.31,Dotdigital,
2024-09-14,EM3888,Win_Back_90Day,promotional,,23853,22972,881,,-1045,284,35.4,12.85,177,11476.55,klaviyo,New Subscribers
2024/06/05,EM6879,Monthly_Newsletter_Feb,win_back,Your skin will thank you,1826,1779,47,520,5,29,29.23,0.96,,0.0,Mailchimp,New Subscribers
04-Nov-2024,EM3790,Win_Back_90Day,Promotional,You left something behind...,8801,8597,204,3252,971,53,37.83,29.86,103,6312.75,klaviyo,All Subscribers
09-10-2024,EM7626,Abandoned_Cart_1 ,NEWSLETTER,Glow up this summer,16766,15852,914,1347,326,216,8.5,,,1087.2,mailchimp,VIP
2024/04/22,EM7772,Win_Back_90Day,promotional,48hrs only: 20% off everything,11884,11099,,2685,461,119,24.19,17.17,50,2333.7 ,Dotdigital,VIP
09-14-2024,EM3186,abandoned_cart_1,NEWSLETTER,You left something behind...,705,691,14,139,25,2,20.12,17.99,4,139.8,,
07/02/2024,EM3734,Flash_Sale_48hr,transactional,,8115,7452,663,496,20,99,6.66,4.03,1,73.96,,Lapsed_90d
2024-03-13,EM3214,Welcome_Series_2,win_back,You left something behind...,15624,13937,1687,3712,1147,219,26.63,30.9,117,9720.14,Mailchimp,All Subscribers
11-23-2024,,Welcome_Series_1,win_back,Glow up this summer,7082,6375,707,2498,352,3,39.18,14.09,6,297.95,,VIP
24/02/2024,EM4638,Flash_Sale_48hr,Promotional,Your skin will thank you,20230,17827,,5821,1527,8,32.65,26.23,302,25126.02,klaviyo,lapsed_90d
02-29-2024,EM2460,Welcome_Series_2,promotional,You left something behind...,7848,7255,593,719,238,10,9.91,33.1,36,,Dotdigital,
2024/02/09,EM3294,Welcome_Series_1,NEWSLETTER,NULL,13180,12945,235,2221,720,113,17.16,32.42,27,1567.75,KLAVIYO,lapsed_90d
2024-12-22,EM9528,Abandoned_Cart_2,,You left something behind...,22751,22677,74,716,126,331,3.16,,18,1449.08,Mailchimp,All Subscribers
12/04/2024,EM4972,VIP_Early_Access,win_back,You left something behind...,21834,19896,1938,5650,1451,199,28.4,25.68,123,4844.98,mailchimp,VIP
01-Mar-2024,EM2579,VIP_Early_Access,newsletter,48hrs only: 20% off everything,4719,4229,490,795,217,18,18.8,27.3,20,824.31,Dotdigital,lapsed_90d
04/12/2024,EM1230,Abandoned_Cart_1 ,promotional,NULL,22081,21006,,3685,257,234,17.54,6.97,15,676.09,Klaviyo,Lapsed_90d
