Date,Customer_ID,Campaign,Network,Match_Type,Keyword,Impressions,Clicks,Cost_GBP,CTR,Avg_CPC,Conversions,Conv_Value_GBP,Conv_Rate_Pct,Quality_Score,Impression_Share_Pct,Device,Currency_Code
03-19-2024,300-237-1523,Shopping_Moisturisers,Shopping,Phrase,,32982,586,82.86,1.78,0.14,47,960.09,8.02,N/A,25.8,Mobile,GBP
2024/11/04,605-764-5048,NULL,,BROAD,best serum uk,20172,1584,378.64,7.85,0.24,79,4930.46,4.99,N/A,,DESKTOP,
06-Oct-2024,635-374-6795,Competitor_KW_BMM,Shopping,Exact,glow cream,31791,1421,80.2,4.47,0.06,57,2239.21,4.01,,87.3,,GBP
01-08-2024,610-300-8329,brand_kw_exact,Display,Broad,face serum,6904,280,20.63,,0.07,12,,4.29,8,11.8,,GBP
2024-08-14,293-751-3052,Generic_Skincare_Broad,,,face serum,34077,354,33.57,1.04,0.09,34,1924.06,9.6,8,91.7,DESKTOP,GBP 
2024/09/07,501-594-2722,DSA_AllProducts,SHOPPING,,retinol cream,31576,2111,565.67,6.69,0.27,86,4267.3,,1,90.9,Mobile,GBP
14-Aug-2024,245-588-7664,brand_kw_exact,,,face serum,22945,572,103.15,2.49%,,34,2223.01,5.94,5,,DESKTOP,GBP
22-Jun-2024,383-782-8824,Generic_Skincare_Broad,,,face serum,13119,372,588.21,2.84,1.58,,322.17,1.34,,34.4,Desktop,
26-Nov-2024,943-168-2095,,search,Phrase,,24631,1258,140.77,5.11,0.11,68,,5.41,4,,,gbp
03-12-2024,148-436-3949,brand_kw_exact,,exact,glow cream,29956,347,574.52,1.16,1.66,23,714.79,6.63,7,83.8,Desktop,GBP
20-Dec-2024,200-515-9659,Brand_KW_Exact,search,Broad,retinol cream,32751,1103,383.59,3.37,0.35,77,6917.2,6.98,N/A,59.7,,GBP
07/06/2024,251-796-8764,Generic_Skincare_Broad,Shopping,Broad,hyaluronic acid,33552,1611,456.47,4.8,0.28,8,705.27,0.5,1,59.0,DESKTOP,gbp
2024/07/28,259-372-2420,Generic_Skincare_Broad,,BROAD,spf drops,21969,1524,,6.94,0.39,91,5454.22,5.97,N/A,55.3,,GBP
