report_date,account_id,account_name,campaign_name,campaign_objective,adset_name,ad_name,placement,impressions,reach,clicks,spend_gbp,ctr_pct,cpc_gbp,conversions,conversion_value_gbp,roas,frequency,currency
2024/02/15,act_5981518,Luminae Beauty Ltd,Prospecting_Glow_Mar24,BRAND_AWARENESS,AdSet_25-34F,Ad_UGC_2,,8699,5519,,75.43,3.97,0.22,39,3437.31,45.57,1.58,gbp
28-Jul-2024,act_9182901,Luminae Beauty Ltd,Awareness_Serum_Jan24 ,conversions,AdSet_retarget_visitors,Ad_Carousel_Serum,Reels,29884,,602,34.88,2.01,0.06,0,0.0,,,GBP
30-Mar-2024,,Luminae Beauty Ltd,retargeting_cart_feb24,TRAFFIC,AdSet_lookalike_purchasers,Ad_UGC_2,stories,12524,9646,,41.65,1.05,0.32,10,865.79,20.79,1.3,GBP
12-30-2024,act_4020319,Luminae Beauty Ltd,Awareness_Serum_Jan24 ,CONVERSIONS,AdSet_25-34F,Ad_UGC_1,feed,27128,24933,-804,255.19,2.96,,1,25.05,,1.09,GBP
2024-08-14,act_1791041,Luminae Beauty Ltd,UGC_Serum_Test,BRAND_AWARENESS,AdSet_18-24F,Ad_Static_SPF,feed,37863,,1266,497.9,3.34,0.39,113,5887.91,11.83,1.16,gbp
2024/11/26,act_5730370,Luminae Beauty Ltd,Conversion_NightCream_Q3,,AdSet_18-24F,Ad_UGC_2,Stories,13576,12915,477,317.78,3.51,0.67,2,126.51,0.4,1.05,
2024-08-14,act_7791789,Luminae Beauty Ltd,retargeting_cart_feb24,TRAFFIC,AdSet_lookalike_purchasers,Ad_UGC_2,,7140,5910,203,151.79,2.84,0.75,2,130.04,0.86,1.21,GBP
2024-06-05,act_5598494,Luminae Beauty Ltd,DPA_AllProducts_Q4,,AdSet_35-44F,Ad_UGC_2,,31132,20206,538,351.63,1.73,0.65,40,2697.25,7.67,1.54,GBP 
11/08/2024,act_8702631,Luminae Beauty Ltd,LookAlike_SPF_Apr24,,AdSet_lookalike_purchasers,Ad_UGC_2,Audience Network,40251,38273,1291,70.14,3.21,0.05,0,0.0,,,gbp
2024/05/22,act_5629239,Luminae Beauty Ltd,,BRAND_AWARENESS,AdSet_lookalike_purchasers,Ad_Static_SPF,stories,626,426,14,228.11,2.24,16.29,,67.84 ,0.3,,
