session_id,session_date,channel_grouping,source,medium,campaign,landing_page,device_category,pageviews,sessions,bounce,time_on_site_secs,converted,order_value_gbp,user_id,country,new_vs_returning
sess_770487,2024-02-27,,META,,Prospecting_Glow_Mar24,/landing/new-in,Mobile,1,1,1,,0,,usr_68878,United Kingdom,Returning
sess_456778,2024/05/22,direct,Google,none,UGC_Serum_Test,/products/retinol-night-cream,mob,3,1,0,240,0,,usr_39871,UK,New
sess_575435,2024-11-21,EMAIL,META,email,DPA_AllProducts_Q4,/collections/eye-care,Mobile,14,1,0,393,0,,usr_40021,Ireland,New
sess_694731,2024/06/10,paid social,,none,Awareness_Serum_Jan24 ,/products/vitamin-c-serum,desktop,4,1,0,691,0,,,Australia,returning
sess_680099,01-06-2024,Organic_Search,google,referral,,,Desktop,11,1,0,758,0,,usr_59009,,NEW
sess_728038,14/06/2024,EMAIL,meta,organic,Shopping_Serums,/products/hyaluronic-acid,tablet,8,1,0,39,0,,usr_37760,United States,returning
sess_781446,2024-07-10,paid_search,google,cpc,Prospecting_Glow_Mar24,/products/glow-cream,Mobile,8,1,0,549,1,20.15,usr_71993,United States,
sess_544154,2024-07-29,email,META,none,Generic_Skincare_Broad,,desktop,8,1,0,766,0,,usr_22224,United States,returning
sess_520521,01-31-2024,Organic_Search,META,(none),UGC_Serum_Test,/collections/serums,mobile,3,1,0,,0,,usr_75909,,NEW
sess_294851,2024/02/05,organic_search,pinterest,,DPA_AllProducts_Q4,/,Desktop,10,1,0,89,0,,usr_51441,,NEW
sess_204837,02-07-2024,paid_social,META,,Shopping_Serums,/collections/eye-care,tablet,9,1,0,238,0,,usr_30374,United States,Returning
sess_994343,05-15-2024,paid_social,(direct),(none),Competitor_KW_BMM,/products/vitamin-c-serum,tablet,9,1,0,520,1,82.7,usr_50404,United Kingdom,Returning
sess_799330,22/02/2024,paid_social,tiktok,cpc,,/products/spf50-drops,Mobile,6,1,0,818,0,,usr_15075,United States,returning
sess_960394,04-26-2024,,unknown,,Awareness_Serum_Jan24,/products/glow-cream,,4,1,0,44,0,,usr_51114,,NEW
sess_146542,28/12/2024,referral,unknown,CPC,LookAlike_SPF_Apr24,/products/glow-cream,MOBILE,7,1,0,21,0,,usr_35144,Australia,Returning
sess_415568,07-26-2024,PAID_SEARCH,unknown,(none),NULL,/products/vitamin-c-serum,mob,9,1,0,,0,,usr_50687,United States,New
sess_598216,08-Nov-2024,Organic_Search,unknown,organic,Conversion_NightCream_Q3,/,mobile,14,1,0,806,0,,usr_27477,,NEW
sess_891937,14-Aug-2024,PAID_SEARCH,email,referral,RLSA_CartAbandoners,/collections/moisturisers,desktop,10,1,0,854,0,,,GB,
sess_324345,2024-02-02,EMAIL,google,referral,Competitor_KW_BMM,/,Mobile,7,1,0,437,1,102.95,usr_62994,AUS,NEW
sess_513160,2024-10-30,direct,email,CPC,Brand_KW_Exact,NULL,desktop,10,1,0,,0,,usr_55870,UK,
sess_132537,2024/05/06,email,(direct),email,NULL,collections/serums,Desktop,4,1,0,,0,,usr_98781,Australia,
sess_720859,2024/12/19,organic_search,pinterest,organic,,/products/spf50-drops,desktop,14,1,0,662,0,,usr_70258,Australia,NEW
sess_383201,11/11/2024,paid_search,Google,(none),Generic_Skincare_Broad,/collections/serums,mob,13,1,0,571,0,,usr_54608,US,NEW
sess_189771,2024-05-03,paid_search,pinterest,referral,NULL,/landing/new-in,mob,12,1,0,436,0,,,United States,
sess_899213,12-19-2024,paid_search,(direct),email,,/products/glow-cream,mobile,3,1,0,216,0,,,United Kingdom,returning
